id,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Number of schools nearby,Distance from the airport,Price
6762813817,42623,3,2.5,2310,7348,1,0,3,3,8,2310,0,2010,2,69,739000
6762813859,42623,4,3.5,3200,7605,2,0,2,3,9,2500,700,2013,2,76,735000
6762813915,42623,3,2.25,2040,130680,2,0,0,3,9,2040,0,1977,1,56,730000
6762814221,42623,4,2.5,2095,4400,1.5,0,0,5,8,1295,800,1910,3,71,711000
6762814222,42623,3,2.5,2880,36820,2,0,0,3,10,2880,0,1992,1,74,710800
6762814243,42623,2,1,1210,6000,1,0,0,4,7,1000,210,1942,1,52,710000
6762814452,42623,4,2.5,2550,7312,2,0,0,3,9,2550,0,1988,3,54,699000
6762814453,42623,3,2,2010,4320,2,0,2,3,9,2010,0,1999,3,51,699000
6762814709,42623,2,2,1450,989,3,0,0,3,9,1450,0,2014,1,56,680000
6762814710,42623,5,3,2970,6500,2,0,0,3,9,2970,0,2000,3,68,680000
6762814989,42623,3,1.75,1800,8000,1,0,0,3,8,1800,0,1972,2,54,665000
6762815030,42623,6,2.25,2450,25600,1,0,2,3,7,1340,1110,1957,3,73,662500
6762815269,42623,4,2.25,1910,5120,1,0,0,3,8,1300,610,1954,1,56,650000
6762815345,42623,3,2.5,2150,15304,2,0,0,4,9,2150,0,1979,1,71,649950
6762815863,42623,3,2.5,2290,14374,2,0,0,3,8,2290,0,1983,1,73,622500
6762815904,42623,3,2.25,2520,212137,2,0,0,3,9,1590,930,2005,2,72,620000
6762815960,42623,3,2.5,2340,3630,2,0,0,3,9,2340,0,1998,3,52,618000
6762816320,42623,5,3.5,3150,10542,1,0,0,5,9,1620,1530,1974,1,69,600000
6762816391,42623,4,2.5,2290,6318,2,0,0,4,8,2290,0,1988,2,53,599950
6762817072,42623,4,3,2710,217800,2.5,0,0,3,9,2710,0,2006,2,67,570000
6762817404,42623,3,2.5,2010,5200,2,0,0,3,8,2010,0,1989,1,72,559000
6762817465,42623,4,1.75,1760,94525,1.5,0,0,3,7,1760,0,1988,2,69,555000
6762817466,42623,3,3,3760,188760,1,0,0,4,10,2640,1120,1979,3,55,555000
6762817548,42623,2,1,1150,5000,1,0,0,4,7,1050,100,1924,2,80,552000
6762817625,42623,3,2.25,1360,5111,1.5,0,0,5,7,1360,0,1934,1,80,550000
6762817730,42623,4,3.5,2970,6587,2,0,0,3,8,2260,710,2014,1,70,549995
6762817731,42623,4,3.5,2660,5690,2,0,0,3,8,1920,740,2014,3,72,549995
6762818278,42623,3,2.25,2120,40518,1,0,0,3,8,2120,0,1967,2,64,530000
6762818823,42623,4,1.75,1540,8311,1,0,0,4,7,1540,0,1950,1,56,512500
6762819241,42623,2,2.5,1320,1157,2,0,0,3,8,990,330,2014,3,73,499950
6762819973,42623,4,2.25,2110,13457,2,0,0,4,8,2110,0,1974,1,57,475000
6762820084,42623,3,1.75,2180,7200,1,0,3,4,8,1090,1090,1954,1,58,472000
6762820737,42623,3,2.75,2300,5090,2,0,0,3,8,1700,600,2007,1,53,452000
6762821084,42623,5,3,2930,5500,1,0,0,3,7,1750,1180,1951,3,74,445000
6762821085,42623,4,2.5,2170,5257,2,0,0,3,7,2170,0,1989,3,67,445000
6762821252,42623,3,1.75,2100,29735,1,0,0,4,7,1080,1020,1957,2,63,440000
6762821253,42623,4,2.5,2990,7928,2,0,0,3,9,2990,0,2011,3,71,440000
6762821369,42623,2,1,1340,8100,1,0,0,4,7,1340,0,1953,3,76,438400
6762821887,42623,3,2.5,1960,4709,2,0,0,3,7,1960,0,2003,2,56,425000
6762822017,42623,4,2.5,2660,5539,2,0,0,3,8,2660,0,2004,2,76,423000
6762822088,42623,3,1,1440,5623,1,0,0,4,6,720,720,1922,1,80,420000
6762822315,42623,2,1,910,3750,1,0,0,3,7,910,0,1904,1,67,415000
6762822493,42623,4,2.25,2150,27345,2,0,0,5,8,2150,0,1976,2,66,410000
6762822849,42623,3,2.25,1190,1149,2,0,0,3,8,1050,140,2008,3,77,400000
6762823085,42623,5,2.75,2840,12253,1,0,0,3,7,1420,1420,1960,3,63,396000
6762823242,42623,2,1.75,1460,426450,1,0,0,5,7,960,500,1966,3,52,390500
6762823279,42623,2,1,860,1800,1,0,0,3,7,860,0,1909,3,60,390000
6762823549,42623,3,2.75,1810,3292,2,0,0,3,8,1810,0,2014,2,65,384205
6762824038,42623,4,1,1960,94525,1.5,0,0,3,6,1960,0,1979,2,53,371000
6762824597,42623,3,2,2460,53882,1,1,4,3,7,2460,0,1955,3,61,357000
6762825342,42623,5,2,1750,8220,1,0,0,3,7,1750,0,1956,3,55,340000
6762825533,42623,3,2.5,1260,1211,3,0,0,3,8,1260,0,2004,1,73,336000
6762825594,42623,2,1,1510,3844,1,0,0,4,7,1510,0,1923,1,70,335000
6762826175,42623,2,1,1070,6000,1,0,0,3,7,1070,0,1955,2,67,324000
6762826491,42623,3,1,1210,8505,1.5,0,0,3,7,1210,0,1958,2,68,315000
6762826919,42623,4,2.25,2130,9600,1,0,0,4,7,2130,0,1966,3,53,305000
6762827204,42623,3,2.5,1780,4650,2,0,0,3,7,1780,0,2011,1,72,299950
6762827554,42623,2,1,960,4000,1,0,0,3,6,960,0,1918,2,56,290000
6762827674,42623,4,2.25,1610,3560,2,0,0,3,7,1610,0,2010,3,72,288000
6762827733,42623,4,2.5,1820,7930,2,0,0,5,7,1820,0,1989,2,75,286000
6762827785,42623,2,1,1050,3088,1,0,0,3,7,1050,0,2005,2,68,285000
6762829240,42623,3,2.5,1610,6600,2,0,0,3,7,1610,0,1994,1,57,250000
6762829387,42623,3,2.5,2120,6840,1,0,0,3,7,1220,900,1984,3,56,248000
6762830089,42623,4,1,1120,8763,1,0,0,3,6,1120,0,1971,1,72,227000
6762830151,42623,2,1,720,4758,1,0,0,3,6,720,0,1947,3,59,225000
6762830778,42623,3,2.5,2040,15463,1,0,0,3,8,1340,700,1968,1,69,200126
6762831196,42623,4,1,1300,6030,1.5,0,0,3,6,1300,0,1947,3,67,175000
6762810266,42624,5,4.25,6510,16471,2,0,3,4,11,3250,3260,1980,1,62,1900000
6762810984,42624,5,4.25,4150,12015,2,0,0,3,10,4150,0,2014,3,55,1210000
6762811399,42624,5,3.25,4770,50094,1,0,0,4,11,3070,1700,1973,2,63,1040000
6762811423,42624,4,3.25,2830,8400,2,0,0,3,9,1910,920,1912,1,69,1030000
6762811657,42624,4,3.5,3780,20023,2,0,2,3,10,3780,0,2001,2,71,970000
6762812131,42624,4,2.75,2640,4000,2,0,0,5,8,1730,910,1925,2,58,895000
6762812435,42624,3,2.5,2820,14890,1,0,4,3,9,1770,1050,1985,3,53,853505
6762812479,42624,3,2.5,3300,11570,2,0,0,3,9,3300,0,1994,3,54,850000
6762813042,42624,3,2.5,2140,9897,1,0,0,4,8,2140,0,1959,3,60,799000
6762813556,42624,3,2.5,3680,203860,1.5,0,0,3,9,3680,0,1994,3,78,755000
6762814085,42624,3,1.75,2040,4000,2,0,0,5,7,1360,680,1924,3,75,720000
6762814563,42624,4,3.5,1930,5400,1.5,0,2,3,7,1930,0,1920,2,53,690000
6762814711,42624,3,2.5,2620,14248,2,0,0,4,8,1830,790,1977,2,71,680000
6762814818,42624,4,2.75,2280,3200,1.5,0,0,5,8,1520,760,1931,2,72,675000
6762814858,42624,4,3.5,2650,3127,2,0,0,3,8,2230,420,2011,2,68,674950
6762815270,42624,3,3.25,1510,2000,2,0,0,3,9,1330,180,2001,3,79,650000
6762815271,42624,3,2.5,2690,11575,1,0,3,3,8,2130,560,1957,2,52,650000
6762816695,42624,4,2.5,2330,45860,2,0,0,3,9,2330,0,1989,1,77,585000
6762817120,42624,4,2.5,2650,6875,2,0,0,3,8,2650,0,2014,2,69,569995
6762817308,42624,5,2.75,3370,10315,2,0,0,3,9,3370,0,2006,1,78,561000
6762817344,42624,3,2.5,2780,32880,1,0,0,3,9,2780,0,1993,1,61,560000
6762817626,42624,4,1.75,2030,5688,2,0,4,4,9,1730,300,1939,3,54,550000
6762818145,42624,3,3,2640,5978,2,0,0,3,9,2640,0,2012,3,57,535000
6762818575,42624,3,1,1150,7080,1,0,0,3,7,1150,0,1952,1,58,522000
6762818824,42624,4,2.25,2200,6900,2,0,0,4,8,2200,0,1975,3,57,512500
6762818867,42624,3,1.75,1920,43560,1,0,0,4,7,1340,580,1962,1,66,510000
6762818868,42624,3,2.5,2300,27566,2,0,0,3,9,2300,0,1995,1,62,510000
6762818933,42624,3,3,2130,5000,1.5,0,0,3,7,1570,560,1913,1,79,509000
6762819127,42624,3,2,1550,6394,1.5,0,0,5,8,1550,0,1918,1,75,500000
6762819242,42624,3,1.75,1340,6250,1,0,0,4,7,1090,250,1941,2,56,499950
6762819332,42624,3,3.5,3090,27598,2,0,2,4,9,2020,1070,1995,1,68,496000
6762819493,42624,3,2.25,1630,7573,1,0,2,3,7,1230,400,1983,2,62,490000
6762819554,42624,3,2.5,2400,7478,2,0,0,3,9,2400,0,2002,3,57,489950
6762819888,42624,2,2,2090,6000,2,0,1,3,7,2090,0,1918,1,69,477500
6762820141,42624,3,2.5,2280,6134,2,0,0,3,8,2280,0,2004,2,53,470000
6762820462,42624,3,1.75,1400,2003,1,0,0,4,8,700,700,1908,3,65,460000
6762820834,42624,4,2.5,3236,9608,2,0,0,3,10,3236,0,2005,1,75,450000
6762820977,42624,2,2.5,1460,1296,2,0,0,3,8,1160,300,2008,3,63,449000
6762821254,42624,4,2.5,2400,8038,2,0,0,3,8,2400,0,2002,1,54,440000
6762821486,42624,4,2.5,1700,6380,1,0,0,4,7,850,850,1940,1,58,435000
6762821487,42624,3,2.5,1730,4065,2,0,0,3,8,1730,0,1996,2,76,435000
6762821488,42624,2,1.5,901,1245,3,0,0,3,7,901,0,2001,2,74,435000
6762822253,42624,3,2.5,1710,5368,3,0,0,3,8,1510,200,2004,2,51,416000
6762822570,42624,3,1.75,1970,7100,1,0,0,3,7,1590,380,1976,3,53,408000
6762824895,42624,2,1.5,1070,937,3,0,0,3,8,1070,0,2003,2,74,350000
6762825015,42624,3,2.5,2240,7565,2,0,0,3,8,2240,0,1999,1,56,349950
6762825236,42624,2,2,1300,4659,1,0,0,3,8,1300,0,2005,3,67,344000
6762825343,42624,4,2.5,2360,7475,2,0,0,3,8,2360,0,1992,2,77,340000
6762825344,42624,3,2.5,1400,4800,1,0,0,3,7,1200,200,1921,1,78,340000
6762826147,42624,3,1.5,1210,7560,1,0,0,3,7,1210,0,1941,1,75,324950
6762827377,42624,3,2.5,1660,8125,1,0,0,3,7,1150,510,1999,3,57,295000
6762827953,42624,3,2.25,1610,10454,1,0,0,3,7,1610,0,1977,3,60,280000
6762828085,42624,2,2,800,5765,1,0,0,4,6,800,0,1936,2,74,278750
6762828643,42624,3,1.5,1400,6527,1,0,0,3,7,1110,290,1957,1,56,265000
6762829241,42624,2,1,670,4640,1,0,0,3,6,670,0,1943,3,80,250000
6762829242,42624,4,2.5,2040,5770,2,0,0,3,7,2040,0,1994,3,73,250000
6762829360,42624,2,2,1090,1357,2,0,0,3,7,1090,0,1990,3,55,249000
6762829830,42624,3,1,1020,6173,1,0,0,3,6,780,240,1948,1,57,235000
6762830870,42624,4,1.5,1160,6400,1,0,0,4,7,1160,0,1975,1,58,199000
6762830901,42624,3,1,880,19600,1,0,0,4,7,880,0,1978,2,52,196000
6762811767,42625,4,1.75,3100,21303,1,0,1,4,9,3100,0,1962,3,51,950000
6762817073,42625,3,2,1270,3090,2,0,0,5,7,1270,0,1911,1,67,570000
6762821334,42625,4,1,1360,5500,1.5,0,0,3,7,1360,0,1950,2,73,439500
6762824084,42625,3,1.5,1690,161913,1,0,0,2,7,1430,260,1952,1,67,370000
6762827378,42625,2,1.75,1560,43748,2,0,0,3,8,1560,0,1967,2,75,295000
6762814675,42626,4,2.5,2620,10489,2,0,0,3,9,2620,0,1990,2,61,683000
6762816321,42626,4,2.5,2230,12753,1,0,0,4,7,1180,1050,1981,1,72,600000
6762817345,42626,2,2,1680,4647,1,0,0,3,8,1680,0,2008,3,73,560000
6762825345,42626,4,1.75,1900,7313,1,0,0,3,7,1900,0,1973,2,63,340000
6762810331,42627,4,3.5,5440,9050,2,0,0,3,12,5440,0,1990,1,72,1770000
6762810865,42627,3,2.5,3060,9576,2,0,0,3,10,3060,0,2005,2,70,1270000
6762810985,42627,4,3.5,3590,5335,2,0,2,3,9,3140,450,2006,1,70,1210000
6762811120,42627,4,2.25,3740,18000,1,0,0,4,9,1870,1870,1951,3,65,1150000
6762811791,42627,4,3.75,4120,8258,2,0,0,3,10,4120,0,2012,3,62,949950
6762811818,42627,4,3,2720,11740,1,0,0,5,9,2720,0,1957,3,53,940000
6762811874,42627,3,3.25,2950,4446,2,0,0,3,9,2450,500,2001,2,56,930000
6762812324,42627,5,2.5,2490,9639,1,0,0,4,8,1610,880,1959,3,57,868500
6762812877,42627,4,3,3990,7838,2,0,0,3,9,3990,0,2003,1,63,810000
6762813065,42627,3,1,1980,3243,1.5,0,0,3,8,1980,0,1912,1,64,796000
6762813265,42627,3,2.5,1580,1487,3,0,1,3,9,1580,0,2009,2,63,779000
6762813411,42627,2,1.75,2230,6930,1,0,0,4,8,1530,700,1947,2,60,766500
6762813427,42627,4,1,2520,5500,1.5,0,0,5,8,1820,700,1912,1,66,765000
6762813949,42627,3,3.25,2250,60548,1,0,0,3,9,2250,0,2005,3,72,729000
6762814501,42627,5,3,3290,14134,1,0,0,3,7,1870,1420,2004,3,62,695000
6762814612,42627,3,1.75,2450,9377,1,0,2,4,8,1540,910,1962,2,53,687500
6762814778,42627,3,1.75,1300,2446,1,0,3,3,8,880,420,1961,2,61,676500
6762814819,42627,4,2.25,2260,8715,1,0,0,4,8,1530,730,1976,3,77,675000
6762814990,42627,3,2.5,2630,10047,2,0,0,3,9,2630,0,1996,2,58,665000
6762814991,42627,4,2.5,2080,8000,1,0,2,5,8,1220,860,1952,1,55,665000
6762815585,42627,3,1.75,2940,6000,1,0,2,4,8,1590,1350,1957,2,54,635000
6762815676,42627,3,2.5,2320,32772,2,0,0,3,9,2320,0,1992,2,65,630000
6762815847,42627,3,2.5,2510,47044,1,0,0,4,7,1910,600,1975,2,72,624000
6762816007,42627,3,1.75,1920,4000,1,0,0,3,7,1070,850,1950,2,67,615000
6762816008,42627,5,3.5,2950,7980,2,0,3,3,9,2350,600,2005,2,51,615000
6762816661,42627,4,2.25,2130,9000,2,0,0,4,8,2130,0,1965,1,58,586000
6762816952,42627,4,2.25,2060,12155,1,0,0,4,8,2060,0,1968,3,73,575000
6762817074,42627,3,3.5,1460,1021,2,0,0,3,8,1150,310,2006,2,75,570000
6762817075,42627,2,1.75,2870,102366,2,0,2,4,8,1770,1100,1994,3,51,570000
6762817346,42627,4,1.5,1790,3420,1,0,0,4,7,1020,770,1923,3,57,560000
6762817627,42627,3,2.75,1960,13252,1,0,0,5,8,1240,720,1975,2,59,550000
6762817974,42627,3,2.25,2100,20018,1,0,4,3,8,1470,630,1948,2,57,540000
6762818075,42627,4,1.75,2230,7957,1,0,0,4,7,2230,0,1967,3,55,537000
6762818453,42627,3,2,1600,16530,1,0,0,5,7,1600,0,1967,3,59,525000
6762818454,42627,3,2.5,1740,2350,2,0,0,3,8,1120,620,1996,1,62,525000
6762819128,42627,3,1.75,2420,65501,2,0,1,3,8,2420,0,1984,3,50,500000
6762819276,42627,2,1.75,2040,114562,1,0,0,4,7,2040,0,1968,1,54,499000
6762819426,42627,3,2.75,1720,6720,1,0,0,4,7,1270,450,1947,3,50,493000
6762819650,42627,3,2.5,2270,7887,2,0,2,3,8,2270,0,2004,2,74,485000
6762819974,42627,4,2.5,3150,5757,2,0,0,3,9,3150,0,2004,1,53,475000
6762820532,42627,2,2.5,1240,1249,3,0,0,3,8,1240,0,2006,3,70,459000
6762820561,42627,2,1.75,990,5850,1,0,0,4,6,990,0,1942,3,78,458000
6762820705,42627,3,1,1210,9473,1,0,0,5,7,1210,0,1955,2,54,453000
6762820835,42627,3,2.5,2790,48994,2,0,0,4,9,2790,0,1984,3,66,450000
6762820836,42627,2,2,1510,4908,1,0,0,3,8,1510,0,2006,3,57,450000
6762820837,42627,3,1.5,1440,9711,1,0,0,3,7,1140,300,1956,3,71,450000
6762821255,42627,3,2.5,2230,5800,2,0,0,3,7,2230,0,2004,3,79,440000
6762821256,42627,4,3.5,3180,4869,2,0,0,3,8,2390,790,2007,3,67,440000
6762821489,42627,2,1.75,1910,12142,1,0,0,3,9,1910,0,1976,1,68,435000
6762821552,42627,3,1.75,1930,7210,1,0,0,3,7,1110,820,1975,2,57,434500
6762821670,42627,5,3,3880,8432,2,0,0,3,7,3880,0,2004,2,66,430000
6762822045,42627,2,1.5,1400,4160,1,0,0,5,7,1400,0,1947,2,64,421000
6762822850,42627,3,1,1060,12690,1,0,0,3,7,1060,0,1969,1,73,400000
6762823086,42627,3,1.75,2340,5668,1,0,0,4,6,1200,1140,1941,2,64,396000
6762823224,42627,4,3.75,2220,3797,1.5,0,0,4,6,1330,890,1917,2,51,392000
6762823280,42627,4,1,1280,4840,1,0,0,3,7,940,340,1950,2,59,390000
6762823554,42627,5,2.75,3220,8160,2,0,0,3,9,3220,0,1999,2,73,384000
6762824540,42627,3,2.5,2430,7857,2,0,0,5,8,1730,700,1980,1,72,359000
6762824665,42627,3,1,1360,8968,1,0,0,3,7,1360,0,1956,2,71,355000
6762824896,42627,2,1,1280,5250,1,0,0,4,7,1140,140,1942,3,53,350000
6762825595,42627,3,1.75,1270,4800,1,0,0,3,7,1270,0,1953,2,79,335000
6762825651,42627,3,1.75,1880,16262,1,0,0,5,7,1880,0,1980,3,69,334950
6762825794,42627,5,2.5,3597,4972,2,0,0,3,7,3597,0,2006,3,78,330000
6762826832,42627,3,1,980,6530,1,0,0,3,7,980,0,1969,1,52,307500
6762826871,42627,3,1.75,1980,9800,1,0,0,3,7,1980,0,1991,3,50,306000
6762827033,42627,4,2.5,1740,7895,2,0,0,3,7,1740,0,1999,2,54,302000
6762827125,42627,4,2.25,1740,9613,2,0,0,5,8,1740,0,1989,1,56,300000
6762827205,42627,2,1,800,3000,1,0,0,3,6,800,0,1904,2,74,299950
6762827461,42627,3,2.5,1690,169448,2,0,0,3,7,1690,0,2003,3,72,293000
6762827652,42627,4,2.25,1930,8925,1,0,0,4,8,1930,0,1974,3,72,289000
6762829640,42627,3,2,1300,5000,1,0,0,4,7,1300,0,1983,2,66,240000
6762830043,42627,4,1.75,1550,9899,1,0,0,4,7,1550,0,1967,1,51,229900
6762830152,42627,4,2,2220,14120,1,0,0,3,7,1200,1020,1966,2,52,225000
6762830876,42627,2,1,1210,18700,1,0,0,4,7,1210,0,1940,1,65,198900
6762831458,42627,3,2,1080,9225,1,0,0,2,7,1080,0,1955,3,74,147400
6762831571,42627,1,1,640,10280,1,0,0,2,5,640,0,1920,2,56,110000
6762831608,42627,2,1,830,9000,1,0,0,3,6,830,0,1939,2,75,85000
6762810281,42628,3,2.5,3280,29111,2,1,3,3,11,3280,0,1925,2,67,1880000
6762811121,42628,3,3.25,3780,10623,1,0,1,3,11,2650,1130,1999,2,64,1150000
6762811195,42628,4,2.5,3320,9380,2,0,3,3,10,3320,0,1988,3,75,1110000
6762811196,42628,4,3,2770,2650,2,0,0,3,9,2180,590,2014,3,72,1110000
6762811604,42628,4,1.75,2120,4000,1.5,0,0,4,8,1920,200,1929,2,57,980000
6762811724,42628,4,3,2370,3836,2,0,0,3,9,1750,620,1969,1,65,957000
6762812213,42628,4,3.5,2800,6750,2,0,0,3,9,1890,910,1951,2,57,880000
6762812628,42628,3,2,1570,4625,1.5,0,0,5,8,1570,0,1927,2,70,835000
6762812815,42628,3,1.5,1180,8545,1,0,0,3,8,1180,0,1952,2,56,816000
6762812958,42628,3,2.25,2170,5001,2,0,0,3,8,2170,0,2014,1,76,802000
6762812987,42628,5,2.5,3320,9024,2,0,0,3,9,3320,0,1999,2,51,800000
6762813710,42628,4,2.5,1710,9627,1,0,0,3,9,1440,270,1976,3,76,749000
6762813860,42628,3,2.5,3020,50800,1,0,0,5,8,1510,1510,1968,2,61,735000
6762814086,42628,4,1.75,2620,11041,1.5,0,0,4,9,2620,0,1962,1,70,720000
6762814114,42628,5,2,3110,6131,1,0,0,5,7,1560,1550,1940,3,70,719000
6762814820,42628,4,2.75,2240,8937,1,0,0,4,8,1460,780,1976,3,55,675000
6762815490,42628,4,2.75,2100,11894,1,0,0,4,8,1720,380,1968,1,56,640000
6762815586,42628,5,3.25,3710,34200,2,0,0,3,8,2510,1200,1986,3,53,635000
6762815855,42628,4,2.5,2980,9235,1,0,0,4,8,1690,1290,1977,1,65,623000
6762816640,42628,3,1.5,1780,4200,1.5,0,0,4,8,1780,0,1916,3,64,588000
6762816696,42628,3,3.5,1700,2197,2,0,0,3,8,1260,440,2010,3,63,585000
6762816884,42628,3,1.75,2120,10875,1,0,2,3,8,1540,580,1977,2,78,578000
6762817347,42628,4,1.75,1740,8800,1,0,0,4,8,1740,0,1965,1,59,560000
6762817467,42628,4,1.75,2350,5946,1,0,2,3,8,1350,1000,1957,2,80,555000
6762817628,42628,3,2.5,2080,7749,2,0,0,3,8,2080,0,1988,3,78,550000
6762817629,42628,2,1.5,1300,2970,1,0,0,3,7,990,310,1903,1,62,550000
6762817630,42628,2,0.75,1040,4000,1,0,0,3,7,930,110,1909,1,64,550000
6762818279,42628,4,2.5,3020,6788,2,0,0,3,7,3020,0,2002,1,78,530000
6762818923,42628,3,2.5,1970,9153,2,0,0,3,8,1970,0,2007,2,62,509950
6762819129,42628,4,1.5,1330,5750,1.5,0,2,3,7,1330,0,1915,2,61,500000
6762819651,42628,2,2,1510,3961,1,0,0,3,8,1510,0,2010,1,59,485000
6762820463,42628,3,2,1860,7232,1,0,0,3,7,1320,540,1985,1,57,460000
6762820722,42628,4,2.25,2550,10000,1,0,0,4,7,1560,990,1979,1,52,452250
6762820838,42628,3,1.75,1850,8667,1,0,0,4,7,880,970,1982,3,56,450000
6762820839,42628,3,1.75,1830,5488,1,0,2,4,7,1010,820,1939,3,78,450000
6762821086,42628,3,1.75,1850,16863,1,0,0,4,7,1280,570,1980,3,56,445000
6762821257,42628,3,2.25,1760,1800,2,0,0,3,7,1330,430,1983,1,60,440000
6762821671,42628,3,2.75,2600,12860,1,0,0,3,7,1350,1250,1965,3,58,430000
6762821774,42628,2,2,1350,4225,1,0,0,3,8,1350,0,2003,2,50,428000
6762821807,42628,3,2.5,2050,3218,3,0,0,3,7,2050,0,2008,1,61,427000
6762821824,42628,4,2.25,2120,7700,1,0,0,4,7,1490,630,1976,1,80,426000
6762821888,42628,2,1,970,2970,1,0,0,3,7,970,0,1910,3,80,425000
6762821889,42628,3,3.25,1410,1350,3,0,0,3,8,1410,0,2005,3,62,425000
6762821890,42628,4,1,1080,4160,1.5,0,0,4,6,1080,0,1924,1,50,425000
6762822089,42628,5,2.25,3070,64033,1,0,0,3,9,2730,340,1983,3,50,420000
6762822154,42628,3,2.25,2280,8500,1,0,0,4,7,1680,600,1977,1,76,419950
6762822851,42628,4,2,1350,7255,1,0,0,4,7,1350,0,1959,3,79,400000
6762822852,42628,4,2.5,2150,5397,2,0,0,3,8,2150,0,1998,1,80,400000
6762823494,42628,2,1,1010,4000,1,0,0,3,6,1010,0,1911,1,58,385000
6762823663,42628,4,1.75,1790,10186,1,0,0,4,8,1790,0,1965,3,72,380000
6762823757,42628,2,1,930,5400,1,0,0,3,7,930,0,1952,3,80,379000
6762824273,42628,2,1,680,4800,1,0,0,3,6,680,0,1917,1,56,365000
6762824439,42628,4,2.25,1930,6508,2,0,0,3,8,1930,0,1996,1,69,360000
6762824440,42628,5,2.5,2130,7111,1,0,0,3,7,1330,800,1968,3,79,360000
6762824618,42628,3,2.25,2280,8765,2,0,0,3,8,2280,0,1977,1,72,356000
6762824761,42628,3,2.75,2170,8396,2,0,0,3,7,2170,0,1995,3,64,353000
6762824897,42628,3,2.75,3070,5280,2,0,1,3,7,2360,710,1950,2,74,350000
6762825069,42628,4,2.5,2720,7697,1,0,0,4,8,2120,600,1987,1,70,348000
6762825465,42628,3,1.75,1320,9450,1,0,0,5,7,1320,0,1943,3,53,338995
6762825693,42628,3,1,1620,5040,1,0,0,3,7,1120,500,1964,2,73,333000
6762825694,42628,4,1.75,1880,9880,1,0,0,4,8,1880,0,1967,1,68,333000
6762825795,42628,3,1,1570,9136,1,0,0,3,7,1570,0,1953,2,58,330000
6762825891,42628,3,1.75,1670,5209,1.5,0,0,5,7,1670,0,1908,1,67,329900
6762826231,42628,4,2.5,2430,5366,2,0,0,3,8,2430,0,2002,1,52,321000
6762826355,42628,3,2.5,1980,9907,2,0,0,3,8,1980,0,1991,2,73,319950
6762826409,42628,3,2.5,1980,4500,2,0,0,3,7,1980,0,2012,3,56,317950
6762826492,42628,3,1,1390,8333,1,0,0,3,7,1390,0,1982,1,55,315000
6762826640,42628,4,2,1890,8362,1,0,0,3,7,1890,0,1966,3,71,312000
6762826711,42628,4,1,1030,5750,1,0,0,3,7,1030,0,1971,1,69,310000
6762827653,42628,2,1,780,4132,1,0,0,3,7,780,0,1942,3,78,289000
6762827786,42628,3,1.5,1380,12196,1,0,0,4,7,1380,0,1967,1,68,285000
6762827954,42628,6,3,2400,9373,2,0,0,3,7,2400,0,1991,3,70,280000
6762828062,42628,4,2.5,2040,8076,2,0,0,3,7,2040,0,1994,3,60,279000
6762828326,42628,3,1.75,1540,12600,1,0,0,4,7,1160,380,1980,2,62,272500
6762828418,42628,2,1.5,1380,209959,1,0,0,1,6,1380,0,1954,2,76,270000
6762828508,42628,3,2.5,1730,6653,1,0,0,4,7,1360,370,1990,1,60,269000
6762828720,42628,1,1,710,4725,1,0,0,3,6,710,0,1939,1,56,264000
6762828831,42628,4,2.75,2250,5000,1,0,0,4,8,1320,930,1984,1,64,260000
6762829573,42628,3,1,1500,6600,1,0,0,2,6,1500,0,1970,3,79,243000
6762829592,42628,3,1,970,9600,1,0,0,3,7,970,0,1972,1,52,242000
6762829831,42628,3,1.75,1380,8362,1,0,0,3,7,1380,0,1967,3,57,235000
6762829878,42628,4,2.5,1960,7875,1,0,0,3,7,1220,740,1978,3,55,234500
6762829980,42628,3,1,1190,9083,1,0,0,3,7,1190,0,1955,3,75,230000
6762830078,42628,3,1,1190,9199,1,0,0,3,7,1190,0,1955,1,52,228000
6762830153,42628,3,1.75,1610,14182,1,0,0,4,7,1100,510,1978,2,51,225000
6762830345,42628,2,2,1310,2550,2,0,0,3,6,1310,0,2004,3,61,219000
6762830487,42628,3,1.5,1150,11571,1,0,0,3,7,1150,0,1961,3,78,213500
6762830611,42628,3,1,1030,60720,1.5,0,0,3,5,1030,0,1912,2,58,209900
6762831154,42628,2,1,680,6400,1,0,0,3,6,680,0,1943,3,55,179900
6762831267,42628,3,1,1180,9832,1,0,0,3,7,1180,0,1970,3,79,169950
6762831268,42628,3,1,910,5800,1.5,0,0,4,5,910,0,1900,1,66,169900
6762831393,42628,2,1,810,4755,1,0,0,3,7,810,0,1980,1,58,155000
6762831555,42628,2,1,790,7153,1,0,0,4,6,790,0,1944,3,60,118125
6762810078,42629,4,3.25,4580,4838,2,0,3,4,11,3080,1500,1991,2,79,2900000
6762810454,42629,4,2.5,2980,13341,1.5,1,4,5,8,1800,1180,1928,1,66,1600000
6762811094,42629,4,2.5,2790,5450,2,0,0,3,10,1930,860,1925,2,70,1160000
6762811224,42629,6,3.25,3560,107362,1.5,0,0,4,8,2760,800,1963,3,78,1100000
6762811561,42629,3,2.75,2500,6350,2,0,0,5,9,2370,130,1979,3,80,990000
6762811718,42629,3,2.5,2830,3750,3,0,0,3,10,2830,0,2014,3,70,959000
